coarse_template,frequency,template_length,cluster,unique_nsi_count,example_nsi_captions,subcluster,subcluster_id
NOUN + CCONJ + NOUN + NOUN,2,4,1,2,sirens and fire noises | Drum and Bugle Corps,1,1.1
NOUN + CCONJ + ADJ + NOUN,2,4,1,2,applauding and heartfelt music | grunts and garbled speech,1,1.1
NOUN + PROPN + NOUN,2,3,1,1,Guy Red Shirt,1,1.1
VERB + NOUN + ADV,2,3,1,2,note swooshes twice | gathers phlegm loudly,1,1.1
NOUN + AUX + VERB,2,3,1,1,mimics telegraph beeping,1,1.1
NOUN + ADP,2,2,1,2,Hums along | Slides by,1,1.1
PROPN + VERB + DET + NOUN,2,4,1,2,EJ makes a mistake | Keith imitates a horn,1,1.1
NOUN + AUX + ADV + VERB,2,4,1,2,Lips are tightly shut | Heart is still pounding,1,1.1
DET + NOUN + VERB,2,3,1,2,THE SMELL ECHOING | some people groaning,1,1.1
ADV + NOUN,2,2,1,1,As Trump,1,1.1
NOUN + VERB + ADP,2,3,1,2,MUSIC FADES OUT | karters crying out,1,1.1
VERB + NOUN + CCONJ + VERB,2,4,1,2,clearing throat and coughing | Rajid groans and chokes,1,1.1
DET + NOUN + VERB + INTJ,2,4,1,2,some kids respond “yeah” | Some children respond “yes”,1,1.1
NOUN + NOUN + VERB + ADV,2,4,1,2,rap music playing faintly | rap music playing quietly,1,1.1
INTJ + NOUN + VERB,2,3,1,1,"""Oh, Susanna"" plays",1,1.1
X + ADJ + ADJ + NOUN + NOUN + AUX,2,6,1,1,"♪ happy, upbeat background music ♪",1,1.1
NOUN + CCONJ + NOUN + VERB,2,4,1,2,Cheers and applause continue | piccolos and flutes playing,1,1.1
VERB + ADP + PROPN + NOUN,2,4,1,2,"Subtitled by Juan Duque | Gather around, Pokémon friends!",1,1.1
NOUN + ADP + PRON,2,3,1,2,Impersonation of whom? | Diggin’ on you,1,1.1
ADJ + NOUN + CCONJ + NOUN + NOUN,2,5,1,2,military fife and drum music | military trumpet and drum music,1,1.1
PROPN + NOUN + NOUN + VERB,2,4,1,2,"whoosh, waltz music plays | upbeat rock music continues",1,1.1
PROPN + PROPN + NOUN + VERB,2,4,1,2,upbeat guitar song plays | upbeat guitar song continues,1,1.1
PROPN + NOUN + NOUN + NOUN + VERB,1,5,1,1,Jurassic Park theme song humming,1,1.1
NOUN + NUM + NOUN,1,3,1,1,Announcer 2 reading:,1,1.1
ADV + NOUN + VERB,1,3,1,1,"mockingly sneers, laughs",1,1.1
PROPN + PROPN + AUX + VERB + DET + NOUN + NOUN,1,7,1,1,Hobi-bear is spreading a happiness virus,1,1.1
SCONJ + PRON + VERB + ADP + NOUN + NOUN + PART + NOUN,1,8,1,1,If you fell for j-hope's charms,1,1.1
NOUN + ADJ + CCONJ + NOUN,1,4,1,1,glasses whir and beep,1,1.1
NOUN + VERB + DET + NOUN,1,4,1,1,paws scratching the floor,1,1.1
NOUN + NOUN + AUX + VERB,1,4,1,1,spray paint can shaking,1,1.1
NOUN + ADP + ADV,1,3,1,1,Claps for now,1,1.1
NOUN + PRON,1,2,1,1,Team A,1,1.1
ADV + ADP + NOUN + ADP + PROPN + PART + NOUN,1,7,1,1,Constantly in awe of BTS's performance,1,1.1
NUM + NOUN + ADV,1,3,1,1,10 days later,1,1.1
NOUN + VERB + ADP + PRON + NOUN,1,5,1,1,HUENINGKAI warms up his voice,1,1.1
PROPN + NOUN + VERB + DET + ADJ + NOUN,1,6,1,1,Producer Soma keeps a straight face,1,1.1
NOUN + PROPN + PART + NOUN + NOUN + AUX + ADV,1,7,1,1,Team B's dance performance is over,1,1.1
NOUN + INTJ,1,2,1,1,Audience oohs,1,1.1
PROPN + NOUN + NOUN + NOUN,1,4,1,1,moody hip hop music,1,1.1
ADV + ADP + NOUN,1,3,1,1,Plain of Jars,1,1.1
ADV + NUM + NOUN + ADJ + CCONJ + ADV + NUM + NOUN + AUX + AUX + VERB,1,11,1,1,About 450km wide and around 400 jars have been discovered,1,1.1
VERB + NOUN + ADP + NOUN + NOUN,1,5,1,1,Bounphu / Plain of Jars Guide,1,1.1
PROPN + PROPN + PROPN + NOUN + NOUN,1,5,1,1,Byeon Jong-mo / Travel Writer,1,1.1
ADV + ADJ + NOUN + NOUN,1,4,1,1,faster electronic rock music,1,1.1
PROPN + NOUN + ADP + NOUN,1,4,1,1,Fang spits on spoon,1,1.1
DET + NOUN + NOUN + ADV,1,4,1,1,BOTH SINGING NOTE TOGETHER,1,1.1
NUM + NUM + NOUN,1,3,1,1,164-328 ft,1,1.1
ADJ + NOUN + PART + NOUN,1,4,1,1,bright children's music,1,1.1
ADJ + NOUN + PART + NOUN + VERB,1,5,1,1,bright children's music ending,1,1.1
VERB + CCONJ + VERB + NOUN,1,4,1,1,opening and pouring feed,1,1.1
VERB + NOUN + VERB + NOUN,1,4,1,1,Telling stories. Inspiring action.,1,1.1
NOUN + ADP + NOUN + VERB + NOUN,1,5,1,1,people on boat shouting greetings,1,1.1
PROPN + PRON + VERB + DET + NOUN + NOUN,1,6,1,1,ss:u have a problem alex,1,1.1
NOUN + VERB + SCONJ + VERB,1,4,1,1,ROBOT SOUNDS WHILE LAUGHING,1,1.1
NOUN + NOUN + VERB + PRON + NOUN,1,5,1,1,"""Row, Row, Row Your Boat""",1,1.1
NOUN + NOUN + VERB + VERB,1,4,1,1,jazz music starts playing,1,1.1
DET + NOUN + ADP + NOUN + CCONJ + PRON + NOUN,1,7,1,1,The story of Saitou and his party,1,1.1
ADV + ADJ + ADV + ADV + ADJ + NOUN + NOUN + CCONJ + VERB,1,9,1,1,"very muffled, crackly, barely audible male chatting and laughing",1,1.1
NOUN + PART + NOUN + NOUN,1,4,1,1,Captain's footsteps fade,1,1.1
NOUN + VERB + INTJ,1,3,1,1,Children respond “no”,1,1.1
DET + NOUN + NOUN,1,3,1,1,"""The Nutcracker Suite""",1,1.1
CCONJ + NUM + NOUN,1,3,1,1,or 200-kg,1,1.1
NUM + NOUN + NOUN,1,3,1,1,340°F,1,1.1
NOUN + NOUN + NOUN + NOUN,1,4,1,1,"engine revs, tires screech",1,1.1
NOUN + PROPN + VERB,1,3,1,1,door thuds closed,1,1.1
VERB + VERB + NOUN + VERB + VERB + VERB,1,6,1,1,ding ding ding! ding ding ding!,1,1.1
NOUN + NOUN + ADJ + NOUN,1,4,1,1,"glass shatters, little pops",1,1.1
VERB + ADJ + NOUN + NOUN,1,4,1,1,adorable little battle grunts,1,1.1
NOUN + PROPN + NOUN + CCONJ + NOUN,1,5,1,1,Glass Joe grunts and groans,1,1.1
NOUN + PROPN + NOUN + CCONJ + VERB + PRON + ADV,1,7,1,1,Glass Joe grunts and groans some more,1,1.1
ADJ + CCONJ + ADV + NOUN + NOUN,1,5,1,1,back-and-forth hop pings,1,1.1
ADJ + NOUN + NOUN + VERB + ADJ + NOUN,1,6,1,1,"Great Tiger grunts, fall sound effect",1,1.1
PROPN + NOUN + NOUN + CCONJ + NOUN,1,5,1,1,King Hippo grunts and groans,1,1.1
VERB + VERB + NOUN + PROPN + NOUN + VERB,1,6,1,1,"eyebrow twitch ding, Piston Hondo grunting",1,1.1
NOUN + NOUN + NOUN + ADP + NOUN,1,5,1,1,Khalid sings words of praise,1,1.1
ADJ + NOUN + ADJ + NOUN,1,4,1,1,orange-flavor fizzy drink,1,1.1
ADV + NOUN + NOUN,1,3,1,1,heavenly choir sings,1,1.1
NUM + NOUN + NOUN + NOUN + NOUN,1,5,1,1,"""One Punch Man"" theme plays",1,1.1
VERB + NOUN + NOUN + ADP + NOUN,1,5,1,1,makes bowl shape with hands,1,1.1
NUM + VERB + NUM + NOUN,1,4,1,1,211 m 137 m,1,1.1
DET + NUM + NOUN + NOUN + VERB + ADJ,1,6,1,1,The four debut members meet ENHYPEN,1,1.1
NOUN + ADP + NOUN + NUM,1,4,1,1,Student in Cuteness 101,1,1.1
NOUN + ADP + NOUN + CCONJ + NOUN,1,5,1,1,Bursts into applause and laughter,1,1.1
ADV + ADV + DET + NOUN + VERB,1,5,1,1,"Just then, another trainee arrives",1,1.1
DET + ADJ + NOUN + VERB + ADV,1,5,1,1,The last trainee comes in,1,1.1
ADV + NUM + NOUN + ADV,1,4,1,1,only two days ago,1,1.1
DET + NOUN + ADP + PRON + NOUN + ADV + VERB,1,7,1,1,The look on his face suddenly changes,1,1.1
NOUN + AUX + ADV + NOUN + ADP + ADV,1,6,1,1,Wobbuffet was totally spot on too,1,1.1
ADV + VERB + PROPN + NOUN + NOUN,1,5,1,1,HYBE LABELS JAPAN performance director,1,1.1
SCONJ + NOUN + PROPN + PART + NOUN + NOUN,1,6,1,1,"Upon release, BTS's ""Crystal Snow""",1,1.1
DET + NOUN + ADV + VERB,1,4,1,1,The stage suddenly darkens,1,1.1
INTJ + NOUN,1,2,1,1,"Hi, guys",1,1.1
NUM + NOUN + NOUN + NOUN + CCONJ + NUM + NOUN,1,7,1,1,4 debut group members and 11 trainees,1,1.1
PROPN + VERB + DET + NOUN + NOUN,1,5,1,1,Sakura keeps a poker face,1,1.1
PROPN + PART + VERB + ADP + NOUN + NOUN + VERB,1,7,1,1,K's close-up camera evaluation begins,1,1.1
ADJ + ADP + NOUN + NOUN + ADP + NOUN,1,6,1,1,Close-up camera evaluation by Soma,1,1.1
ADV + NUM + ADJ + ADP + NOUN + NOUN,1,6,1,1,"Round 1, close-up camera evaluation",1,1.1
ADJ + CCONJ + NOUN + NOUN,1,4,1,1,"""Key and Peele Theme""",1,1.1
NOUN + ADV + VERB + ADP,1,4,1,1,music quickly picks up,1,1.1
VERB + VERB + NOUN + CCONJ + PART + VERB + NOUN,1,7,1,1,foe making stuffing and to roast paranthas,1,1.1
PROPN + PROPN + NOUN + ADP + DET + NOUN,1,6,1,1,Andrew mock pants like a dog,1,1.1
NOUN + SYM + NOUN,1,3,1,1,"""rm(list=ls(",1,1.1
NOUN + ADV + NOUN,1,3,1,1,Marshmello-Alone Playing,1,1.1
NOUN + NOUN + ADP,1,3,1,1,Wing popping up,1,1.1
NOUN + NOUN + CCONJ + VERB,1,4,1,1,PHONE DIALING AND RINGING,1,1.1
ADJ + NOUN + ADP + NOUN + NOUN,1,5,1,1,National Anthem by School children,1,1.1
NOUN + VERB + ADJ + NOUN,1,4,1,1,men speaking foreign language,1,1.1
ADV + VERB + NOUN,1,3,1,1,fast-paced music,1,1.1
ADV + NOUN + NOUN + VERB,1,4,1,1,jolly game music playing,1,1.1
NOUN + VERB + PROPN + NOUN,1,4,1,1,"door opens, Ted gasps",1,1.1
NOUN + VERB + CCONJ + NOUN,1,4,1,1,audience cheering and applause,1,1.1
NOUN + ADP + NOUN + VERB,1,4,1,1,men in car laughing,1,1.1
ADJ + PROPN + NOUN + NOUN,1,4,1,1,smooth R&amp;B style instrumental,1,1.1
VERB + NOUN + CCONJ + NOUN,1,4,1,1,celebratory cheers and applause,1,1.1
DET + NOUN + VERB + NOUN,1,4,1,1,The Roots play funk,1,1.1
VERB + VERB + NOUN + NOUN,1,4,1,1,inspiring marching band music,1,1.1
ADJ + NOUN + VERB + ADV + VERB,1,5,1,1,"mellifluous music begins, abruptly ends",1,1.1
VERB,1461,1,2,288,SOUND | LAUGH | SINGING | slurping | cheering,1,2.1
PRON + VERB,164,2,2,45,all laughing | all grunting | both laughing | all awing | both exclaim,1,2.1
VERB + VERB,47,2,2,26,crowd cheering | blows landing | Feeling dazed | Brad laughing | beeping continues,1,2.1
VERB + ADV,35,2,2,27,laughs nervously | Whispering inaudibly | Speaking inaudibly | gasps excitedly | Reading aloud,1,2.1
VERB + ADP + NOUN,14,3,2,10,Speaking in Spanish | reading to students | yelling in background | SINGING IN WELSH | knocking on glass,1,2.1
VERB + CCONJ + VERB,10,3,2,10,sniffing and grunting | snorting and laughing | growling and howling | grunting and yelping | crashing and groaning,1,2.1
VERB + ADP,7,2,2,6,Cheer up! | Cracks up | WORK OUT | sucks in | Shaken up,1,2.1
ADV + VERB,6,2,2,5,Deeply touched | heavenly singing | ghostly moaning | finely chopped | audibly reacting,1,2.1
VERB + DET + NOUN,3,3,2,3,Skip The Tutorial | tapping the box | Cue the music,1,2.1
VERB + NUM,3,2,2,2,crosstalk 00:08:21 | Judge 3,1,2.1
VERB + PRON + ADP,3,3,2,3,Reel 'em in! | CIRQUE IT OUT | Help me out,1,2.1
PRON + VERB + VERB,3,3,2,3,"Both giggling, squealing | Both grunting, screeching | both grunting, yelling",1,2.1
VERB + VERB + ADV,2,3,2,2,note clicks repeatedly | sander whirring loudly,1,2.1
PRON + VERB + ADV,2,3,2,2,all laugh hysterically | Both shouting playfully,1,2.1
PRON + VERB + ADJ + NOUN,2,4,2,2,BOTH SINGING RANDOM NOTES | BOTH MAKING VARIOUS SOUNDS,1,2.1
VERB + AUX,2,2,2,1,speaking Hebrew,1,2.1
PRON + PRON + VERB,2,3,2,1,they all laugh,1,2.1
VERB + VERB + ADP + NOUN,1,4,2,1,Lay Lay on phone,1,2.1
VERB + ADP + NUM + NOUN,1,4,2,1,screams as Two-Face,1,2.1
NOUN + VERB + PART + VERB,1,4,2,1,oil continues to sizzle,1,2.1
VERB + ADP + PRON + PART + VERB,1,5,2,1,Signaling for someone to come?!,1,2.1
PRON + VERB + ADP + DET + NOUN + VERB,1,6,2,1,Everyone fell to the floor laughing,1,2.1
INTJ + VERB + PRON + VERB,1,4,2,1,Please let me leave!!!,1,2.1
PRON + AUX + PRON + NOUN,1,4,2,1,It was my pleasure!!,1,2.1
DET + NOUN + AUX + VERB,1,4,2,1,The clock is ticking,1,2.1
AUX + PRON + VERB,1,3,2,1,Am I dreaming?,1,2.1
ADP + PRON + ADP + PRON,1,4,2,1,"Like this, like this",1,2.1
PRON + AUX + VERB,1,3,2,1,Everyone's pumped,1,2.1
PRON + PRON + AUX + VERB + AUX + NOUN,1,6,2,1,All they can do is clap,1,2.1
DET + NOUN + PRON + AUX + PART + VERB + SCONJ + PART + VERB,1,9,2,1,A guy who doesn't know how to lose,1,2.1
SCONJ + PRON + VERB + PRON + NOUN,1,5,2,1,After everyone checks their &amp;BALLs,1,2.1
VERB + INTJ,1,2,2,1,crowd oohs,1,2.1
VERB + PRON + ADP + ADP + PROPN,1,5,2,1,"""Lift Me Up"" by Rihanna",1,2.1
PART + PRON,1,2,2,1,not all,1,2.1
PRON + VERB + VERB + ADV + NOUN,1,5,2,1,I think I'n quite good~,1,2.1
VERB + ADV + ADV,1,3,2,1,SPEAKING UNINTELLIGIBLY FAST,1,2.1
VERB + PRON + DET + NOUN,1,4,2,1,CHANTING WE THE PEOPLE,1,2.1
PART + VERB + DET + NOUN,1,4,2,1,to volunteer the tribes,1,2.1
PRON + VERB + PART + VERB + DET + NOUN + ADP + VERB + ADV,1,9,2,1,I have to clean the camera after spraying xD,1,2.1
CCONJ + VERB,1,2,2,1,both howling,1,2.1
PRON + AUX + VERB + ADP + PROPN + PROPN,1,6,2,1,"""I'm Saved"", by Duncan Saige",1,2.1
PROPN + PRON + VERB + PRON + VERB + ADJ,1,6,2,1,ss:i thought you liked orange,1,2.1
PRON + VERB + PART + AUX + PRON,1,5,2,1,"""It Had to be You""",1,2.1
VERB + VERB + NOUN + PART + VERB + VERB,1,6,2,1,Feeling energized! Time to keep going!,1,2.1
VERB + ADP + ADP + NOUN,1,4,2,1,counting down in German,1,2.1
PRON + AUX,1,2,2,1,it’s,1,2.1
PART + VERB,1,2,2,1,to cure,1,2.1
NUM + VERB + NUM + VERB + NUM + NUM,1,6,2,1,48m 116 m 27 m,1,2.1
PRON + AUX + DET + NOUN + NOUN + VERB + ADP,1,7,2,1,Who is the debut group waiting for?,1,2.1
CCONJ + AUX + PART + VERB + PRON + NOUN,1,6,2,1,But can't hide his nervousness,1,2.1
AUX + PRON + VERB + PRON + DET + NOUN,1,6,2,1,Should I give him a hand?,1,2.1
PRON + VERB + NUM + NOUN + ADV,1,5,2,1,I speak 3 languages too,1,2.1
VERB + PRON + VERB,1,3,2,1,Let me see,1,2.1
PRON + PRON + ADV + VERB + ADP,1,5,2,1,What? He just passed by?,1,2.1
ADV + PRON + VERB,1,3,2,1,Here he comes!,1,2.1
PRON + AUX + PART + VERB,1,4,2,1,This doesn't work...,1,2.1
ADJ + PART + VERB + PRON,1,4,2,1,Nice to meet you,1,2.1
NOUN + AUX + PART + VERB + ADP + PRON,1,6,2,1,Perspective doesn't apply to him,1,2.1
VERB + ADP + PRON + NOUN,1,4,2,1,Show off my charm...,1,2.1
PRON + AUX + VERB + ADP + PRON + NOUN + ADV,1,7,2,1,Who will show off their charm first?,1,2.1
PRON + VERB + PRON + ADJ + NOUN,1,5,2,1,I found my strongest suit...,1,2.1
ADV + VERB + ADP + PRON + NOUN,1,5,2,1,Effortlessly dribbling between his legs,1,2.1
SCONJ + DET + NOUN + PRON + VERB + ADV + VERB + ADV,1,8,2,1,As the trainees who went first do well,1,2.1
DET + NOUN + ADP + PRON + VERB + PART + VERB + ADJ,1,8,2,1,the rest of them starts to get anxious,1,2.1
SCONJ + PRON + AUX + ADP + PRON,1,5,2,1,While I'm at it,1,2.1
PRON + AUX + AUX + VERB + ADV,1,5,2,1,It will be revealed now,1,2.1
NOUN + AUX + AUX + VERB + ADV,1,5,2,1,Parts have been divided temporarily,1,2.1
DET + NOUN + VERB + ADP + NUM,1,5,2,1,The performance starts with K,1,2.1
DET + NOUN + AUX + ADV + VERB,1,5,2,1,The chorus is finally unveiled,1,2.1
PRON + VERB + ADV + ADV + ADP + NOUN + NOUN,1,7,2,1,It looks hard even in 0.5x speed,1,2.1
VERB + PRON + NOUN,1,3,2,1,Introducing our producers!,1,2.1
PRON + NOUN,1,2,2,1,My bangs?,1,2.1
SCONJ + PRON + VERB + DET + NOUN,1,5,2,1,As they approach the stage,1,2.1
PRON + AUX + PRON + VERB + ADV,1,5,2,1,What do we do now?,1,2.1
VERB + PRON + PART + VERB,1,4,2,1,Unsure what to do,1,2.1
DET + NOUN + ADV + VERB + ADP,1,5,2,1,The producers suddenly show up,1,2.1
PRON + AUX + VERB + ADP,1,4,2,1,Everyone gets tensed up,1,2.1
AUX + PRON + NOUN + VERB + ADV,1,5,2,1,Is my score written inside?,1,2.1
PRON + AUX + PRON,1,3,2,1,What is this?,1,2.1
PRON + VERB + PART + VERB + PRON + ADP,1,6,2,1,We have to fill that up?,1,2.1
PRON + NOUN + AUX + AUX + VERB,1,5,2,1,Our debut will be canceled?,1,2.1
AUX + PRON + AUX + ADJ + PART + VERB + ADP + PRON + PROPN,1,9,2,1,Will they be able to fill up the &amp;RING?,1,2.1
DET + NUM + NOUN + AUX + VERB,1,5,2,1,The 14 members were required,1,2.1
PRON + AUX + DET + NUM + NOUN + VERB + PART + VERB,1,8,2,1,What do the four producers have to say?,1,2.1
VERB + PART + VERB + ADJ,1,4,2,1,Fails to understand Korean,1,2.1
PRON + NOUN + VERB + PART + VERB + ADP + NOUN,1,7,2,1,Our efforts failed to come to fruition?,1,2.1
PRON + VERB + PRON,1,3,2,1,He criticizes him,1,2.1
PRON + AUX + NOUN + VERB + PART + VERB,1,6,2,1,What does Sakura have to say?,1,2.1
SCONJ + PRON + VERB + PRON + VERB,1,5,2,1,Since they watched them practice,1,2.1
CCONJ + PROPN + VERB + PART + VERB + PRON + ADP,1,7,2,1,But EJ failed to pull it off,1,2.1
NOUN + AUX + VERB + ADP + NUM + ADP + NUM,1,7,2,1,&amp;BALLs are piling up one by one,1,2.1
SCONJ + AUX + PRON + VERB + PRON,1,5,2,1,Why are we doing this?,1,2.1
NOUN + AUX + VERB + PRON + NOUN,1,5,2,1,people are paying you money.,1,2.1
PRON + AUX + ADV + AUX + VERB + PART + VERB + NOUN,1,8,2,1,You're just being paid to have fun?,1,2.1
NOUN + VERB + PRON + PRON,1,4,2,1,dog help us all,1,2.1
VERB + INTJ + ADV,1,3,2,1,"Shouting ""No"" Repeatedly",1,2.1
INTJ + PART + SCONJ + PRON + VERB,1,5,2,1,"""HMM'S"" AS HE THINKS",1,2.1
DET + VERB,1,2,2,1,all groaning,1,2.1
PRON + VERB + DET + NOUN,1,4,2,1,he blows a raspberry,1,2.1
PROPN,790,1,3,159,INAUDIBLE | Cassyanna | NOISE | Gabe | Kenny,1,3.1
ADJ + NOUN,748,2,3,173,cheerful music | military drums | upbeat music | electronic sounds | slow music,1,3.1
PROPN + NOUN,274,2,3,128,incomprehensible noise | bell rings | mosquito buzzing | News Anchor | doorbell rings,1,3.1
PROPN + PROPN,261,2,3,59,Mekia chuckles | Mekia laughs | kasuri methi | John growls | Dan chuckles,1,3.1
ADJ,214,1,3,26,bleep | BLEEP | Bleep | affirmative | general,1,3.1
PROPN + VERB,93,2,3,67,Kelly yells | Kelly laughs | Nathan chuckling | Eric chuckling | Nathan laughs,1,3.1
ADJ + ADJ + NOUN,78,3,3,51,soft cheerful music | light electronic music | gentle acoustic guitar | cheery orchestral music | heroic orchestral music,1,3.1
PRON,46,1,3,5,both | Both | all | Everyone | All,1,3.1
VERB + ADJ + NOUN,37,3,3,18,bouncy positive music | continues mumble rapping | soaring intense music | bouncy synth music | speaks foreign language,1,3.1
ADV,37,1,3,22,Kanmusu | angrily | nasally | normally | louder,1,3.1
NUM,28,1,3,26,2/3rd | 1/3rd | Ten | 0:00:00 | 0:10:00,1,3.1
PROPN + PROPN + NOUN,19,3,3,14,Nintendo Switch Snap | Guy Green Shirt | sheet pan clunks | Kaiser roll crunches | mournful harmonica tune,1,3.1
VERB + ADJ,13,2,3,4,blows whistle | SPEAKING ARABIC | get ready | Feeling unwell,1,3.1
PROPN + ADJ + NOUN,10,3,3,8,"upbeat electric music | upbeat rhythmic music | eerie, ominous chords | taunt sound effect | upbeat electronic music",1,3.1
INTJ,9,1,3,5,Yes! | Oh! | Yes? | Wow! | Hey!,1,3.1
ADP,9,1,3,4,TJ | For | Amy | OG,1,3.1
